lat	lon	Y	year
  -5.4827000e+01   1.7854600e+02   9.4402477e-02   2.0130000e+03
  -5.1687000e+01   1.6229600e+02  -8.2707031e-02   2.0130000e+03
  -5.2134000e+01   1.6270700e+02  -5.2430795e-02   2.0130000e+03
  -5.2813000e+01   1.6242400e+02   6.1142479e-02   2.0130000e+03
  -6.0938000e+01   1.7785600e+02  -8.4000022e-02   2.0130000e+03
  -6.1717000e+01   1.7945200e+02  -5.6372206e-03   2.0130000e+03
  -5.7176000e+01   1.6843500e+02   2.1693390e-03   2.0130000e+03
  -5.6342000e+01   1.6623800e+02  -6.3925977e-02   2.0130000e+03
  -5.5316000e+01   1.6999600e+02  -6.8514304e-02   2.0130000e+03
  -5.5898000e+01   1.6884900e+02  -4.7253003e-01   2.0130000e+03
  -5.5608000e+01   1.7211000e+02  -1.2743004e-01   2.0130000e+03
  -5.4733000e+01   1.7367000e+02  -1.2187998e-01   2.0130000e+03
  -5.6690000e+01   1.7987000e+02  -2.6999954e-02   2.0130000e+03
  -6.2752000e+01   1.7712200e+02   1.1604004e-01   2.0130000e+03
  -6.2102000e+01   1.7678800e+02   5.8999971e-02   2.0130000e+03
  -6.1783000e+01   1.7708400e+02  -1.5350011e-02   2.0130000e+03
  -6.1216000e+01   1.7127100e+02  -6.5469968e-02   2.0130000e+03
  -6.1142000e+01   1.7155500e+02  -1.0737001e-01   2.0130000e+03
  -6.1166000e+01   1.6812600e+02  -2.1371993e-01   2.0130000e+03
  -6.1610000e+01   1.6807400e+02   1.2562487e-02   2.0130000e+03
  -6.3789000e+01   1.6968700e+02  -8.9000015e-02   2.0130000e+03
  -6.4084000e+01   1.7148800e+02  -7.6000023e-02   2.0130000e+03
  -6.4123000e+01   1.7151800e+02  -1.4800001e-01   2.0130000e+03
  -5.7139000e+01   1.6012800e+02  -2.5468003e-01   2.0130000e+03
  -5.7540000e+01   1.6122700e+02  -3.6836015e-01   2.0130000e+03
  -6.1403000e+01   1.6802400e+02   4.7999953e-02   2.0130000e+03
  -6.1645000e+01   1.6785900e+02  -8.9999905e-03   2.0130000e+03
  -6.2125000e+01   1.6823700e+02   6.3250003e-02   2.0130000e+03
  -5.1436000e+01   1.6063900e+02  -5.2925665e-02   2.0130000e+03
  -5.9414000e+01   1.6679700e+02   5.1185606e-02   2.0130000e+03
  -5.9798000e+01   1.6846500e+02   1.0026417e-01   2.0130000e+03
  -6.0304000e+01   1.7104700e+02   1.4305003e-01   2.0130000e+03
  -6.0598093e+01   1.7981476e+02   9.7731715e-04   2.0130000e+03
  -5.7195000e+01   1.7793000e+02   3.1188218e-02   2.0140000e+03
  -5.6439000e+01   1.7826200e+02  -1.2512060e-02   2.0140000e+03
  -5.5935000e+01   1.7775300e+02   4.6592265e-04   2.0140000e+03
  -5.3400000e+01   1.7634900e+02  -2.6099994e-01   2.0140000e+03
  -5.3480000e+01   1.7595500e+02  -1.7083892e-01   2.0140000e+03
  -5.1814000e+01   1.7645400e+02  -1.0146103e-01   2.0140000e+03
  -5.4357000e+01   1.6428900e+02   9.4667899e-02   2.0140000e+03
  -5.3736000e+01   1.6414700e+02   2.0230063e-01   2.0140000e+03
  -5.6781000e+01   1.7770200e+02  -5.1906274e-03   2.0140000e+03
  -5.2729410e+01   1.7545504e+02   3.2000048e-02   2.0140000e+03
  -5.2092110e+01   1.7592417e+02  -3.4000019e-02   2.0140000e+03
  -5.2654280e+01   1.7693231e+02  -7.0000038e-03   2.0140000e+03
  -5.6332310e+01   1.6383183e+02   7.6939841e-02   2.0140000e+03
  -5.6418160e+01   1.6292265e+02   5.6020022e-02   2.0140000e+03
  -5.7023690e+01   1.6433592e+02   2.5019598e-02   2.0140000e+03
  -5.6023590e+01   1.6067333e+02   9.0200743e-03   2.0140000e+03
  -5.6468770e+01   1.6225728e+02   6.0999949e-02   2.0140000e+03
  -5.7332330e+01   1.6336289e+02   4.1979984e-02   2.0140000e+03
  -5.5748000e+01   1.6606400e+02   8.4599939e-02   2.0140000e+03
  -5.5315000e+01   1.6830000e+02   3.5999689e-03   2.0140000e+03
  -5.5805000e+01   1.6312200e+02  -2.5414643e-01   2.0140000e+03
  -5.6914000e+01   1.6418000e+02  -3.3577271e-02   2.0140000e+03
  -5.8542000e+01   1.6449100e+02   4.2299862e-02   2.0140000e+03
  -5.7760000e+01   1.6726900e+02  -3.2615146e-03   2.0140000e+03
  -5.7979000e+01   1.6490600e+02   1.9317385e-02   2.0140000e+03
  -5.7587000e+01   1.6890500e+02   3.4116565e-02   2.0140000e+03
  -5.6710000e+01   1.6863900e+02   4.7547216e-02   2.0140000e+03
  -5.5259170e+01   1.7491081e+02   1.5999886e-02   2.0140000e+03
  -5.6156950e+01   1.7472593e+02   1.1000002e-02   2.0140000e+03
  -5.6603300e+01   1.7389855e+02  -1.2999966e-02   2.0140000e+03
  -5.7530160e+01   1.6876590e+02  -5.5999981e-02   2.0140000e+03
  -5.9252540e+01   1.6735324e+02   2.6999971e-02   2.0140000e+03
  -5.8809790e+01   1.6658627e+02   2.0980076e-02   2.0140000e+03
  -6.0766230e+01   1.6661356e+02   2.3936499e-02   2.0140000e+03
  -6.0791070e+01   1.6757889e+02  -1.1895228e-01   2.0140000e+03
  -5.7675850e+01   1.6811720e+02  -9.2980439e-02   2.0140000e+03
  -5.6151930e+01   1.6939592e+02  -8.0020018e-02   2.0140000e+03
  -5.5598380e+01   1.7049550e+02  -3.8019575e-02   2.0140000e+03
  -5.2100760e+01   1.6449178e+02  -4.5941008e-02   2.0140000e+03
  -5.2219540e+01   1.6468288e+02  -9.8000061e-02   2.0140000e+03
  -6.4078000e+01   1.7582100e+02   6.9365060e-02   2.0140000e+03
  -5.8843000e+01   1.6823100e+02   1.1000093e-02   2.0140000e+03
  -5.8733000e+01   1.6627700e+02  -3.9770027e-02   2.0140000e+03
  -5.7999000e+01   1.6720700e+02  -1.0121513e-01   2.0140000e+03
  -5.4421000e+01   1.7769000e+02   3.3426796e-02   2.0140000e+03
  -5.4516000e+01   1.7598500e+02   8.5955484e-02   2.0140000e+03
  -5.5585000e+01   1.7523000e+02   5.3851001e-02   2.0140000e+03
  -6.1198000e+01   1.6603700e+02   8.9000006e-02   2.0140000e+03
  -6.1206000e+01   1.6692500e+02   6.3554997e-02   2.0140000e+03
  -6.1550000e+01   1.6721000e+02   3.4450028e-02   2.0140000e+03
  -5.7110000e+01   1.7841600e+02   2.1100077e-02   2.0140000e+03
  -5.6718000e+01   1.7861900e+02   2.1095002e-02   2.0140000e+03
  -5.6635000e+01   1.7918900e+02  -1.1885064e-02   2.0140000e+03
  -5.7255000e+01   1.6447300e+02   2.9106004e-01   2.0140000e+03
  -5.7614000e+01   1.6892200e+02   1.4200007e-01   2.0140000e+03
  -6.2399000e+01   1.6825600e+02   9.6999978e-02   2.0140000e+03
  -6.2661000e+01   1.6878000e+02   2.4000027e-02   2.0140000e+03
  -5.5515000e+01   1.7142400e+02  -1.7899991e-01   2.0140000e+03
  -5.5044000e+01   1.7311500e+02  -1.6299990e-01   2.0140000e+03
  -5.5323000e+01   1.7392600e+02  -1.6600011e-01   2.0140000e+03
  -6.0731000e+01   1.6642800e+02   4.3174994e-02   2.0140000e+03
  -6.0844000e+01   1.6726100e+02  -2.8384926e-02   2.0140000e+03
  -6.0948000e+01   1.6815700e+02  -3.0430053e-02   2.0140000e+03
  -6.3700000e+01   1.6256800e+02  -6.8309978e-02   2.0140000e+03
  -6.3760000e+01   1.6291700e+02  -4.1999988e-02   2.0140000e+03
  -6.3732000e+01   1.6329400e+02  -9.5000012e-02   2.0140000e+03
  -5.7914000e+01   1.6876000e+02  -7.1478293e-02   2.0140000e+03
  -5.8858000e+01   1.6773000e+02   4.8160069e-02   2.0140000e+03
  -5.8039000e+01   1.6942400e+02  -8.2230776e-02   2.0140000e+03
  -5.8036000e+01   1.6103800e+02  -1.5192996e-01   2.0140000e+03
  -6.3269000e+01   1.6962300e+02  -2.0999983e-02   2.0140000e+03
  -6.2871000e+01   1.7050400e+02  -1.0500004e-01   2.0140000e+03
  -6.3113000e+01   1.7152600e+02  -2.4685075e-02   2.0140000e+03
  -5.7313110e+01   1.6822651e+02   4.2900004e-01   2.0150000e+03
  -5.7526250e+01   1.6817376e+02   4.4500000e-01   2.0150000e+03
  -5.7743880e+01   1.6815511e+02   4.2198079e-01   2.0150000e+03
  -5.7148080e+01   1.7212655e+02   2.4600007e-01   2.0150000e+03
  -5.8718940e+01   1.6911644e+02  -2.9882441e-02   2.0150000e+03
  -5.8965020e+01   1.6986764e+02  -6.3000072e-02   2.0150000e+03
  -5.9236600e+01   1.7027360e+02  -5.3999899e-02   2.0150000e+03
  -6.0325590e+01   1.7015049e+02   6.8000002e-02   2.0150000e+03
  -6.0501800e+01   1.6952146e+02   1.4400006e-01   2.0150000e+03
  -6.0116840e+01   1.6758545e+02  -4.0000315e-03   2.0150000e+03
  -6.0158040e+01   1.6787628e+02  -2.8000031e-02   2.0150000e+03
  -6.0190550e+01   1.6814062e+02   2.0999949e-02   2.0150000e+03
  -6.0839700e+01   1.6832623e+02   9.6039293e-02   2.0150000e+03
  -6.1103420e+01   1.6922081e+02   8.9999965e-02   2.0150000e+03
  -6.3331000e+01   1.7845400e+02   4.5097293e-02   2.0150000e+03
  -6.3033000e+01   1.7883700e+02  -3.6089364e-03   2.0150000e+03
  -6.2759000e+01   1.7910200e+02  -5.0916964e-02   2.0150000e+03
  -6.2754000e+01   1.7977600e+02  -4.7868355e-02   2.0150000e+03
  -5.0022650e+01   1.7820576e+02   1.5300010e-01   2.0150000e+03
  -6.1087690e+01   1.7820803e+02   5.1999920e-02   2.0150000e+03
  -6.0919350e+01   1.7893997e+02   6.4039338e-02   2.0150000e+03
  -6.0777270e+01   1.7947812e+02   6.9000069e-02   2.0150000e+03
  -5.0905710e+01   1.7626048e+02  -2.2999928e-02   2.0150000e+03
  -5.0731180e+01   1.7528157e+02  -4.1999912e-02   2.0150000e+03
  -6.1684880e+01   1.6628081e+02   1.3300003e-01   2.0150000e+03
  -6.1860110e+01   1.6658122e+02   2.0001997e-01   2.0150000e+03
  -6.2163670e+01   1.6741759e+02   1.1600003e-01   2.0150000e+03
  -6.2258150e+01   1.6406605e+02   5.0999973e-02   2.0150000e+03
  -6.2332260e+01   1.6458273e+02   6.1000029e-02   2.0150000e+03
  -6.2271450e+01   1.6523540e+02   3.9999495e-03   2.0150000e+03
  -6.3018270e+01   1.6583363e+02  -2.8804002e-01   2.0150000e+03
  -6.3017700e+01   1.6584024e+02  -3.1599998e-01   2.0150000e+03
  -6.3016570e+01   1.6584147e+02  -3.1193997e-01   2.0150000e+03
  -6.3186470e+01   1.6645317e+02  -2.7303923e-01   2.0150000e+03
  -6.3993780e+01   1.6524168e+02  -2.0000016e-02   2.0150000e+03
  -6.3993030e+01   1.6519356e+02  -1.7039249e-02   2.0150000e+03
  -6.3986070e+01   1.6513165e+02  -1.3000008e-02   2.0150000e+03
  -6.3914400e+01   1.6485786e+02  -9.0000291e-03   2.0150000e+03
  -6.3857850e+01   1.6488339e+02  -2.9000010e-02   2.0150000e+03
  -6.4996540e+01   1.6475730e+02   1.1600000e-01   2.0150000e+03
  -6.4974750e+01   1.6473545e+02   1.1798073e-01   2.0150000e+03
  -6.4947620e+01   1.6468081e+02   1.2400002e-01   2.0150000e+03
  -5.0391000e+01   1.7604100e+02   9.1616839e-04   2.0150000e+03
  -5.0207000e+01   1.7618100e+02   1.6904213e-01   2.0150000e+03
  -6.1032000e+01   1.7638500e+02   7.7579925e-02   2.0150000e+03
  -6.1128000e+01   1.7909300e+02   1.9681627e-02   2.0150000e+03
  -5.0706000e+01   1.6407800e+02   2.4869995e-01   2.0150000e+03
  -5.0663000e+01   1.6415600e+02   2.0899472e-01   2.0150000e+03
  -5.1093000e+01   1.7987500e+02   8.7058424e-03   2.0150000e+03
  -5.1263000e+01   1.7987400e+02   1.9719708e-02   2.0150000e+03
  -5.1747000e+01   1.7968600e+02   3.6655746e-02   2.0150000e+03
  -6.1886000e+01   1.7766000e+02  -1.2578004e-01   2.0150000e+03
  -6.1589000e+01   1.7781300e+02  -9.9842889e-02   2.0150000e+03
  -6.1545000e+01   1.7932100e+02  -1.0073998e-01   2.0150000e+03
  -5.5948000e+01   1.7433400e+02  -7.2000015e-02   2.0150000e+03
  -5.7216000e+01   1.7476500e+02  -7.2000065e-02   2.0150000e+03
